itt_id,site1,site2,site3,site1_dis,site2_dis,site3_dis
M2211290545,LN120078,LN120078,LN120078,0.882,0.882,0.882
M2211290545,LN120078,LN120078,LN120078,0.882,0.882,0.882
M2211290545,LN120078,LN120078,LN120078,0.882,0.882,0.882
M2211290545,LN120078,LN120078,LN120078,0.882,0.882,0.882
M2211290545,LN120078,LN120078,LN120078,0.882,0.882,0.882
M2211290545,LN120078,LN120078,LN120078,0.882,0.882,0.882
M2211290847,LA200005,LA200005,LA200005,0.165,0.165,0.165
M2211290847,LA200005,LA200005,LA200005,0.165,0.165,0.165
M2211290847,LA200005,LA200005,LA200005,0.165,0.165,0.165
M2211290847,LA200005,LA200005,LA200005,0.165,0.165,0.165
M2211290847,LA200005,LA200005,LA200005,0.165,0.165,0.165
M2211290847,LA200005,LA200005,LA200005,0.165,0.165,0.165
M2211290331,LS730813,LS730813,LS730813,6.849,6.849,6.849
M2211290331,LS730813,LS730813,LS730813,6.849,6.849,6.849
M2211290331,LS730813,LS730813,LS730813,6.849,6.849,6.849
M2211290331,LS730813,LS730813,LS730813,6.849,6.849,6.849
M2211290331,LS730813,LS730813,LS730813,6.849,6.849,6.849
M2211290331,LS730813,LS730813,LS730813,6.849,6.849,6.849
M2211290922,LA211399,LA211399,LA211399,0.137,0.137,0.137
M2211290922,LA211399,LA211399,LA211399,0.137,0.137,0.137
M2211290922,LA211399,LA211399,LA211399,0.137,0.137,0.137
M2211290922,LA211399,LA211399,LA211399,0.137,0.137,0.137
M2211290922,LA211399,LA211399,LA211399,0.137,0.137,0.137
M2211290922,LA211399,LA211399,LA211399,0.137,0.137,0.137
M2211290913,LA201291,LA201291,LA201291,0.051,0.051,0.051
M2211290913,LA201291,LA201291,LA201291,0.051,0.051,0.051
M2211290913,LA201291,LA201291,LA201291,0.051,0.051,0.051
M2211290913,LA201291,LA201291,LA201291,0.051,0.051,0.051
M2211290913,LA201291,LA201291,LA201291,0.051,0.051,0.051
M2211290913,LA201291,LA201291,LA201291,0.051,0.051,0.051
M2211290557,LN101379,LN101379,LN101379,7.25,7.25,7.25
M2211290557,LN101379,LN101379,LN101379,7.25,7.25,7.25
M2211290557,LN101379,LN101379,LN101379,7.25,7.25,7.25
M2211290557,LN101379,LN101379,LN101379,7.25,7.25,7.25
M2211290557,LN101379,LN101379,LN101379,7.25,7.25,7.25
M2211290557,LN101379,LN101379,LN101379,7.25,7.25,7.25
M2211290307,LA210672,LA210672,LA210672,2.575,2.575,2.575
M2211290307,LA210672,LA210672,LA210672,2.575,2.575,2.575
M2211290307,LA210672,LA210672,LA210672,2.575,2.575,2.575
M2211290307,LA210672,LA210672,LA210672,2.575,2.575,2.575
M2211290307,LA210672,LA210672,LA210672,2.575,2.575,2.575
M2211290307,LA210672,LA210672,LA210672,2.575,2.575,2.575
M2211290969,LA200433,LA200433,LA200433,0.181,0.181,0.181
M2211290969,LA200433,LA200433,LA200433,0.181,0.181,0.181
M2211290969,LA200433,LA200433,LA200433,0.181,0.181,0.181
M2211290969,LA200433,LA200433,LA200433,0.181,0.181,0.181
M2211290969,LA200433,LA200433,LA200433,0.181,0.181,0.181
M2211290969,LA200433,LA200433,LA200433,0.181,0.181,0.181
M2211290346,LA224356,LA224356,LA224356,2.319,2.319,2.319
M2211290346,LA224356,LA224356,LA224356,2.319,2.319,2.319
M2211290346,LA224356,LA224356,LA224356,2.319,2.319,2.319
M2211290346,LA224356,LA224356,LA224356,2.319,2.319,2.319
M2211290346,LA224356,LA224356,LA224356,2.319,2.319,2.319
M2211290346,LA224356,LA224356,LA224356,2.319,2.319,2.319
M2211290197,LS730531,LS730531,LS730531,0.165,0.165,0.165
M2211290197,LS730531,LS730531,LS730531,0.165,0.165,0.165
M2211290197,LS730531,LS730531,LS730531,0.165,0.165,0.165
M2211290197,LS730531,LS730531,LS730531,0.165,0.165,0.165
M2211290197,LS730531,LS730531,LS730531,0.165,0.165,0.165
M2211290197,LS730531,LS730531,LS730531,0.165,0.165,0.165
M2211290611,LC530207,LC530207,LC530207,0.596,0.596,0.596
M2211290611,LC530207,LC530207,LC530207,0.596,0.596,0.596
M2211290611,LC530207,LC530207,LC530207,0.596,0.596,0.596
M2211290611,LC530207,LC530207,LC530207,0.596,0.596,0.596
M2211290611,LC530207,LC530207,LC530207,0.596,0.596,0.596
M2211290611,LC530207,LC530207,LC530207,0.596,0.596,0.596
M2211290769,LA200135,LA200135,LA200135,0.2,0.2,0.2
M2211290769,LA200135,LA200135,LA200135,0.2,0.2,0.2
M2211290769,LA200135,LA200135,LA200135,0.2,0.2,0.2
M2211290769,LA200135,LA200135,LA200135,0.2,0.2,0.2
M2211290769,LA200135,LA200135,LA200135,0.2,0.2,0.2
M2211290769,LA200135,LA200135,LA200135,0.2,0.2,0.2
M2211290417,LS721808,LS721808,LS721808,0.464,0.464,0.464
M2211290417,LS721808,LS721808,LS721808,0.464,0.464,0.464
M2211290417,LS721808,LS721808,LS721808,0.464,0.464,0.464
M2211290417,LS721808,LS721808,LS721808,0.464,0.464,0.464
M2211290417,LS721808,LS721808,LS721808,0.464,0.464,0.464
M2211290417,LS721808,LS721808,LS721808,0.464,0.464,0.464
M2211290920,LS721528,LS721528,LS721528,0.605,0.605,0.605
M2211290920,LS721528,LS721528,LS721528,0.605,0.605,0.605
M2211290920,LS721528,LS721528,LS721528,0.605,0.605,0.605
M2211290920,LS721528,LS721528,LS721528,0.605,0.605,0.605
M2211290920,LS721528,LS721528,LS721528,0.605,0.605,0.605
M2211290920,LS721528,LS721528,LS721528,0.605,0.605,0.605
M2211290211,LA201786,LA201786,LA201786,5.428,5.428,5.428
M2211290211,LA201786,LA201786,LA201786,5.428,5.428,5.428
M2211290211,LA201786,LA201786,LA201786,5.428,5.428,5.428
M2211290211,LA201786,LA201786,LA201786,5.428,5.428,5.428
M2211290211,LA201786,LA201786,LA201786,5.428,5.428,5.428
M2211290211,LA201786,LA201786,LA201786,5.428,5.428,5.428
M2211291189,LA200588,LA200588,LA200588,0.237,0.237,0.237
M2211291189,LA200588,LA200588,LA200588,0.237,0.237,0.237
M2211291189,LA200588,LA200588,LA200588,0.237,0.237,0.237
M2211291189,LA200588,LA200588,LA200588,0.237,0.237,0.237
M2211291189,LA200588,LA200588,LA200588,0.237,0.237,0.237
M2211291189,LA200588,LA200588,LA200588,0.237,0.237,0.237
M2211290713,LN130024,LN130024,LN130024,0.044,0.044,0.044
M2211290713,LN130024,LN130024,LN130024,0.044,0.044,0.044
M2211290713,LN130024,LN130024,LN130024,0.044,0.044,0.044
M2211290713,LN130024,LN130024,LN130024,0.044,0.044,0.044
M2211290713,LN130024,LN130024,LN130024,0.044,0.044,0.044
M2211290713,LN130024,LN130024,LN130024,0.044,0.044,0.044
M2211290802,LS730643,LS730643,LS730643,2.159,2.159,2.159
M2211290802,LS730643,LS730643,LS730643,2.159,2.159,2.159
M2211290802,LS730643,LS730643,LS730643,2.159,2.159,2.159
M2211290802,LS730643,LS730643,LS730643,2.159,2.159,2.159
M2211290802,LS730643,LS730643,LS730643,2.159,2.159,2.159
M2211290802,LS730643,LS730643,LS730643,2.159,2.159,2.159
M2211290169,LA202076,LA202076,LA202076,0.221,0.221,0.221
M2211290169,LA202076,LA202076,LA202076,0.221,0.221,0.221
M2211290169,LA202076,LA202076,LA202076,0.221,0.221,0.221
M2211290169,LA202076,LA202076,LA202076,0.221,0.221,0.221
M2211290169,LA202076,LA202076,LA202076,0.221,0.221,0.221
M2211290169,LA202076,LA202076,LA202076,0.221,0.221,0.221
M2211291017,LN110545,LN110545,LN110545,0.104,0.104,0.104
M2211291017,LN110545,LN110545,LN110545,0.104,0.104,0.104
M2211291017,LN110545,LN110545,LN110545,0.104,0.104,0.104
M2211291017,LN110545,LN110545,LN110545,0.104,0.104,0.104
M2211291017,LN110545,LN110545,LN110545,0.104,0.104,0.104
M2211291017,LN110545,LN110545,LN110545,0.104,0.104,0.104
M2211290774,LS710294,LS710294,LS710294,222.955,222.955,222.955
M2211290774,LS710294,LS710294,LS710294,222.955,222.955,222.955
M2211290774,LS710294,LS710294,LS710294,222.955,222.955,222.955
M2211290774,LS710294,LS710294,LS710294,222.955,222.955,222.955
M2211290774,LS710294,LS710294,LS710294,222.955,222.955,222.955
M2211290774,LS710294,LS710294,LS710294,222.955,222.955,222.955
M2211291080,LA224220,LA224220,LA224220,0.11,0.11,0.11
M2211291080,LA224220,LA224220,LA224220,0.11,0.11,0.11
M2211291080,LA224220,LA224220,LA224220,0.11,0.11,0.11
M2211291080,LA224220,LA224220,LA224220,0.11,0.11,0.11
M2211291080,LA224220,LA224220,LA224220,0.11,0.11,0.11
M2211291080,LA224220,LA224220,LA224220,0.11,0.11,0.11
M2211290024,LN130434,LN130434,LN130434,0.086,0.086,0.086
M2211290024,LN130434,LN130434,LN130434,0.086,0.086,0.086
M2211290024,LN130434,LN130434,LN130434,0.086,0.086,0.086
M2211290024,LN130434,LN130434,LN130434,0.086,0.086,0.086
M2211290024,LN130434,LN130434,LN130434,0.086,0.086,0.086
M2211290024,LN130434,LN130434,LN130434,0.086,0.086,0.086
M2211290584,LA200520,LA200520,LA200520,0.217,0.217,0.217
